step,strain,p,p_over_p_eq
388,0.015,1.41261e+07,2.3744
389,0.015,1.41205e+07,2.37346
390,0.015,1.4115e+07,2.37253
391,0.015,1.41094e+07,2.3716
392,0.015,1.41039e+07,2.37067
393,0.015,1.40984e+07,2.36975
394,0.015,1.40929e+07,2.36883
395,0.015,1.40875e+07,2.36791
396,0.015,1.4082e+07,2.36699
397,0.015,1.40766e+07,2.36608
398,0.015,1.40712e+07,2.36517
399,0.015,1.40658e+07,2.36426
400,0.015,1.40604e+07,2.36335
401,0.015,1.4055e+07,2.36245
402,0.015,1.40496e+07,2.36155
403,0.015,1.40443e+07,2.36065
404,0.015,1.4039e+07,2.35976
405,0.015,1.40337e+07,2.35886
406,0.015,1.40284e+07,2.35797
407,0.015,1.40231e+07,2.35709
408,0.015,1.40178e+07,2.3562
409,0.015,1.40126e+07,2.35532
410,0.015,1.40073e+07,2.35444
411,0.015,1.40021e+07,2.35356
412,0.015,1.39969e+07,2.35268
413,0.015,1.39917e+07,2.35181
414,0.015,1.39865e+07,2.35094
415,0.015,1.39814e+07,2.35007
416,0.015,1.39762e+07,2.34921
417,0.015,1.39711e+07,2.34835
418,0.015,1.3966e+07,2.34748
419,0.015,1.39609e+07,2.34663
420,0.015,1.39558e+07,2.34577
421,0.015,1.39507e+07,2.34492
422,0.015,1.39456e+07,2.34407
423,0.015,1.39406e+07,2.34322
424,0.015,1.39355e+07,2.34237
425,0.015,1.39305e+07,2.34153
426,0.015,1.39255e+07,2.34068
427,0.015,1.39205e+07,2.33984
428,0.015,1.39155e+07,2.33901
429,0.015,1.39106e+07,2.33817
430,0.015,1.39056e+07,2.33734
431,0.015,1.39007e+07,2.33651
432,0.015,1.38957e+07,2.33568
433,0.015,1.38908e+07,2.33485
434,0.015,1.38859e+07,2.33403
435,0.015,1.3881e+07,2.33321
436,0.015,1.38761e+07,2.33239
437,0.015,1.38713e+07,2.33157
438,0.015,1.38664e+07,2.33075
439,0.015,1.38616e+07,2.32994
440,0.015,1.38568e+07,2.32913
441,0.015,1.3852e+07,2.32832
442,0.015,1.38472e+07,2.32751
443,0.015,1.38424e+07,2.32671
444,0.015,1.38376e+07,2.32591
445,0.015,1.38328e+07,2.32511
446,0.015,1.38281e+07,2.32431
447,0.015,1.38233e+07,2.32351
448,0.015,1.38186e+07,2.32272
449,0.015,1.38139e+07,2.32193
450,0.015,1.38092e+07,2.32114
451,0.015,1.38045e+07,2.32035
452,0.015,1.37998e+07,2.31956
453,0.015,1.37952e+07,2.31878
454,0.015,1.37905e+07,2.318
455,0.015,1.37859e+07,2.31722
456,0.015,1.37813e+07,2.31644
457,0.015,1.37766e+07,2.31566
458,0.015,1.3772e+07,2.31489
459,0.015,1.37674e+07,2.31411
460,0.015,1.37629e+07,2.31334
461,0.015,1.37583e+07,2.31258
462,0.015,1.37537e+07,2.31181
463,0.015,1.37492e+07,2.31105
464,0.015,1.37446e+07,2.31028
465,0.015,1.37401e+07,2.30952
